code,name
01,"Растениеводство и животноводство, охота и предоставление услуг в этих областях"
01.1,Выращивание одно- или двухлетних культур
01.2,Выращивание многолетних культур
01.3,Воспроизводство растений
01.4,Животноводство
01.5,Смешанное сельское хозяйство
01.6,"Деятельность, способствующая выращиванию сельскохозяйственных культур и разведению животных и деятельность по обработке урожая"
01.7,"Охота и отлов, включая предоставление услуг в этих областях"
01.11,"Выращивание зерновых (кроме риса), бобовых и масличных культур"
01.11.1,"Выращивание зерновых и зернобобовых культур, включая семеноводство"
01.11.2,Выращивание масличных культур и их семян
01.12,Выращивание риса
01.12.0,Выращивание риса
01.13,"Выращивание овощей, бахчевых, корнеплодов и клубнеплодов"
01.13.1,Выращивание картофеля и посадочного материала
01.13.2,"Выращивание овощей, их семян и рассады"
01.13.3,Выращивание сахарной свеклы и ее семян
01.14,Выращивание сахарного тростника
01.14.0,Выращивание сахарного тростника
01.15,Выращивание табака
01.15.0,Выращивание табака
01.16,Выращивание прядильных культур
01.16.1,Выращивание хлопка-сырца
01.16.2,Выращивание прядильных культур и их семян
01.19,Выращивание прочих одно- или двухлетних культур
01.19.1,Выращивание кормовых культур и их семян
01.19.2,"Выращивание цветов, семеноводство цветочных культур"
01.19.9,"Выращивание прочих одно- или двухлетних культур, не включенных в другие группировки"
01.21,Выращивание винограда
01.21.0,Выращивание винограда
01.22,Выращивание тропических и субтропических плодов
01.22.0,Выращивание тропических и субтропических плодов
01.23,Выращивание цитрусовых плодов
01.23.0,Выращивание цитрусовых плодов
01.24,Выращивание семечковых и косточковых плодов
01.24.0,Выращивание семечковых и косточковых плодов
01.25,"Выращивание прочих плодов, ягод и орехов"
01.25.0,"Выращивание прочих плодов, ягод и орехов"
01.26,Выращивание маслосодержащих плодов
01.26.0,Выращивание маслосодержащих плодов
01.27,Выращивание культур для производства напитков
01.27.0,Выращивание культур для производства напитков
01.28,"Выращивание специй, пряностей, лекарственных и используемых в парфюмерии растений"
01.28.0,"Выращивание специй, пряностей, лекарственных и используемых в парфюмерии растений"
01.29,Выращивание прочих многолетних культур
01.29.0,Выращивание прочих многолетних культур
01.30,Воспроизводство растений
01.30.0,Воспроизводство растений
01.41,Разведение крупного рогатого скота молочного направления
01.41.0,Разведение крупного рогатого скота молочного направления
01.42,Разведение прочего крупного рогатого скота и буйволов
01.42.0,Разведение прочего крупного рогатого скота и буйволов
01.43,Разведение лошадей и прочих животных семейства лошадиных
01.43.1,Разведение лошадей
01.43.2,"Разведение и выращивание ослов, мулов или лошаков"
01.44,Разведение верблюдов и прочих животных семейства верблюжьих
01.44.0,Разведение верблюдов и прочих животных семейства верблюжьих
01.45,Разведение овец и коз
01.45.0,Разведение овец и коз
01.46,Разведение свиней
01.46.0,Разведение свиней
01.47,Разведение сельскохозяйственной птицы
01.47.1,"Разведение птицы на мясо, племенной птицы и молодняка"
01.47.2,Производство яиц
01.47.3,"Производство смешанное, мясояичное"
01.47.4,Деятельность инкубаторно-птицеводческих станций
01.49,Разведение прочих видов животных
01.49.0,Разведение прочих видов животных
01.50,Смешанное сельское хозяйство
01.50.0,Смешанное сельское хозяйство
01.61,"Деятельность, способствующая растениеводству"
01.61.1,"Деятельность, способствующая растениеводству, кроме эксплуатации оросительных систем"
01.61.2,Эксплуатация оросительных систем
01.62,"Деятельность, способствующая животноводству"
01.62.0,"Деятельность, способствующая животноводству"
01.63,Деятельность по обработке урожая
01.63.0,Деятельность по обработке урожая
01.64,Деятельность по обработке семян для посадки
01.64.0,Деятельность по обработке семян для посадки
01.70,"Охота и отлов, включая предоставление услуг в этих областях"
01.70.0,"Охота и отлов, включая предоставление услуг в этих областях"
01.450,Қойларды және ешкілерді көбейту
02,Лесоводство и лесозаготовки
02.1,Лесоводство и прочая лесохозяйственная деятельность
02.2,Лесозаготовки
02.3,Сбор дикорастущей недревесной продукции
02.4,"Услуги, связанные с лесоводство и лесозаготовками"
02.10,Лесоводство и прочая лесохозяйственная деятельность
02.10.0,Лесоводство и прочая лесохозяйственная деятельность
02.20,Лесозаготовки
02.20.0,Лесозаготовки
02.30,Сбор дикорастущей недревесной продукции
02.30.0,Сбор дикорастущей недревесной продукции
02.40,"Услуги, связанные с лесоводство и лесозаготовками"
02.40.0,"Услуги, связанные с лесоводство и лесозаготовками"
03,Рыболовство и рыбоводство
03.1,Рыболовство
03.2,Рыбоводство
03.11,Морское рыболовство
03.11.0,Морское рыболовство
03.12,Пресноводное рыболовство
03.12.0,Пресноводное рыболовство
03.21,Морское рыбоводство
03.21.0,Морское рыбоводство
03.22,Пресноводное рыбоводство
03.22.0,Пресноводное рыбоводство
05,Добыча угля
05.1,Добыча каменного угля
05.2,Добыча лигнита (бурого угля)
05.10,Добыча каменного угля
05.10.1,Добыча каменного угля открытым способом
05.10.2,Добыча каменного угля подземным способом
05.10.3,Обогащение каменного угля
05.20,Добыча лигнита (бурого угля)
05.20.1,Добыча лигнита (бурого угля) открытым способом
05.20.2,Добыча лигнита (бурого угля) подземным способом
05.20.3,Обогащение лигнита (бурого угля)
06,Добыча сырой нефти и природного газа
06.1,Добыча сырой нефти
06.2,Добыча природного газа
06.10,Добыча сырой нефти
06.10.0,Добыча сырой нефти и попутного газа
06.20,Добыча природного газа
06.20.1,"Добыча природного газа, кроме метана"
06.20.2,Добыча метана из угольных месторождений
07,Добыча металлических руд
07.1,Добыча железных руд
07.2,"Добыча руд, кроме железных"
07.10,Добыча железных руд
07.10.1,Добыча железных руд подземным способом
07.10.2,Добыча железных руд открытым способом
07.10.3,Обогащение и агломерация железных руд
07.21,Добыча урановой и ториевой руд
07.21.0,Добыча урановой и ториевой руд
07.29,Добыча прочих металлических руд
07.29.1,Добыча и обогащение алюминийсодержащего сырья
07.29.2,Мыс кенін өндіру және байыту
07.29.3,Добыча и обогащение свинцово-цинковой руды
07.29.4,Добыча и обогащение никель-кобальтовых руд
07.29.5,Добыча и обогащение титаномагниевого сырья (руды)
07.29.6,Добыча и обогащение оловянной руды
07.29.7,Добыча и обогащение сурьмяно-ртутных руд
07.29.8,Добыча драгоценных металлов и руд редких металлов
07.29.9,"Добыча и обогащение прочих металлических руд, не включенных в другие группировки"
08,Добыча прочих полезных ископаемых
08.1,"Добыча камня, песка и глины"
08.9,"Добыча полезных ископаемых, не включенных в другие группировки"
08.11,"Добыча отделочного и строительного камня, известняка, гипса, мела и сланцев"
08.11.1,Добыча отделочного и строительного камня
08.11.2,"Добыча известняка, гипса и мела"
08.11.3,Добыча сланцев
08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина"
08.12.1,Разработка гравийных и песчаных карьеров
08.12.2,Добыча глины и каолина
08.91,Добыча минерального сырья для химической промышленности и производства удобрений
08.91.0,Добыча минерального сырья для химической промышленности и производства удобрений
08.92,Добыча торфа
08.92.0,Добыча торфа
08.93,Добыча соли
08.93.0,Добыча соли
08.99,"Добыча прочих полезных ископаемых, не включенных в другие группировки"
08.99.1,Добыча асбестовой руды
08.99.2,Добыча и обогащение неметаллических руд
08.99.3,Добыча сырья для естественных и искусственных пористых заполнителей
08.99.4,Добыча исходного сырья для стекольной промышленности
08.99.5,"Добыча драгоценных камней (кроме алмазов) и полудрагоценных камней, самоцветов и янтаря"
08.99.6,Добыча алмазов
09,Предоставление услуг в горнодобывающей промышленности
09.1,"Предоставление услуг, способствующих добыче нефти и природного газа"
09.9,"Предоставление услуг, способствующих добыче других полезных ископаемых"
09.10,"Предоставление услуг, способствующих добыче нефти и природного газа"
09.10.0,"Предоставление услуг, способствующих добыче нефти и природного газа"
09.90,"Предоставление услуг, способствующих добыче других полезных ископаемых"
09.90.0,"Предоставление услуг, способствующих добыче других полезных ископаемых"
10,Производство продуктов питания
10.1,Переработка и консервирование мяса и производство мясной продукции
10.2,"Переработка и консервирование рыбы, ракообразных и моллюсков"
10.3,Переработка и консервирование фруктов и овощей
10.4,Производство растительных и животных масел и жиров
10.5,Производство молочных продуктов
10.6,"Производство мукомольно-крупяных продуктов, крахмалов и крахмальных"
10.7,"Производство хлебобулочных, макаронных и мучных кондитерских изделий"
10.8,Производство прочих продуктов питания
10.9,Производство готовых кормов для животных
10.11,Переработка и консервирование мяса
10.11.0,Переработка и консервирование мяса
10.12,Переработка и консервирование мяса сельскохозяйственной птицы
10.12.0,Переработка и консервирование мяса сельскохозяйственной птицы
10.13,Производство продуктов из мяса и мяса сельскохозяйственной птицы
10.13.0,Производство продуктов из мяса и мяса сельскохозяйственной птицы
10.20,"Переработка и консервирование рыбы, ракообразных и моллюсков"
10.20.0,"Переработка и консервирование рыбы, ракообразных и моллюсков"
10.31,Переработка и консервирование картофеля
10.31.0,Переработка и консервирование картофеля
10.32,Производство фруктовых и овощных соков
10.32.0,Производство фруктовых и овощных соков
10.39,Прочие виды переработки и консервирования фруктов и овощей
10.39.0,Прочие виды переработки и консервирования фруктов и овощей
10.41,Производство масел и жиров
10.41.1,Производство неочищенных масел и жиров
10.41.2,Производство рафинированных масел и жиров
10.42,Производство маргарина и аналогичных пищевых жиров
10.42.0,Производство маргарина и аналогичных пищевых жиров
10.51,Переработка молока и производство сыров
10.51.1,"Переработка молока, кроме консервирования, и производство сыров"
10.51.2,Производство молочных консервов
10.52,Производство мороженого
10.52.0,Производство мороженого
10.61,Производство мукомольно-крупяных продуктов
10.61.1,Производство муки
10.61.2,Производство круп
10.61.3,Производство пищевых концентратов
10.62,Производство крахмала и продукции из крахмала
10.62.0,Производство крахмала и продукции из крахмала
10.71,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения
10.71.0,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения
10.72,"Производство сухарей и печенья, мучных кондитерских изделий длительного хранения"
10.72.0,"Производство сухарей и печенья, мучных кондитерских изделий длительного хранения"
10.73,Производство макаронных изделий
10.73.0,Производство макаронных изделий
10.81,Производство сахара
10.81.0,Производство сахара
10.82,"Производство какао, шоколада и сахаристых кондитерских изделий"
10.82.0,"Производство какао, шоколада и сахаристых кондитерских изделий"
10.83,Производство чая и кофе
10.83.0,Производство чая и кофе
10.84,Производство пряностей и приправ
10.84.0,Производство пряностей и приправ
10.85,Производство готовых пищевых продуктов
10.85.0,Производство готовых пищевых продуктов
10.86,Производство детского питания и диетических пищевых продуктов
10.86.0,Производство детского питания и диетических пищевых продуктов
10.89,"Производство прочих продуктов питания, не включенных в другие группировки"
10.89.1,"Производство супов, бульонов и яйцепродуктов"
10.89.2,Производство дрожжей
10.89.9,"Производство прочих пищевых продуктов, не включенных в другие группировки"
10.91,Производство готовых кормов для сельскохозяйственных животных
10.91.0,Производство готовых кормов для сельскохозяйственных животных
10.92,Производство готовых кормов для домашних животных
10.92.0,Производство готовых кормов для домашних животных
11,Производство напитков
11.0,Производство напитков
11.01,"Дистилляция, ректификация и смешивание спиртных напитков"
11.01.0,"Дистилляция, ректификация и смешивание спиртных напитков"
11.02,Производство вина из винограда
11.02.1,Производство вина из винограда собственного производства
11.02.2,Производство вина из винограда несобственного производства
11.03,Производство сидра и прочих плодовых вин
11.03.0,Производство сидра и прочих плодовых вин
11.04,Производство прочих недистиллированных напитков из сброженного материала
11.04.0,Производство прочих недистиллированных напитков из сброженного материала
11.05,Производство пива
11.05.0,Производство пива
11.06,Производство солода
11.06.0,Производство солода
11.07,"Производство безалкогольных напитков, минеральных вод и других вод в бутылках"
11.07.0,"Производство безалкогольных напитков, минеральных вод и других вод в бутылках"
12,Производство табачных изделий
12.0,Производство табачных изделий
12.00,Производство табачных изделий
12.00.1,Ферментация табака
12.00.2,Производство изделий из табака
13,Производство текстильных изделий
13.1,Подготовка и прядение текстильных волокон
13.2,Ткацкое производство
13.3,Отделка тканей и текстильных изделий
13.9,Производство прочих текстильных изделий
13.10,Подготовка и прядение текстильных волокон
13.10.1,"Подготовка хлопчатобумажного волокна, хлопка-волокна"
13.10.2,"Прядение хлопчатобумажного волокна, хлопка-волокна"
13.10.3,Подготовка шерстяного волокна
13.10.4,Прядение шерстяного волокна
13.10.5,Подготовка льняного и прочих растительных волокон
13.10.6,Прядение льняного и прочих растительных волокон
13.10.7,Подготовка шелкового волокна
13.10.8,Производство шелковой пряжи
13.10.9,Производство швейных ниток
13.20,Ткацкое производство
13.20.1,Производство хлопчатобумажных тканей
13.20.2,Производство шерстяных тканей
13.20.3,Производство шелковых тканей
13.20.4,Производство льняных тканей
13.20.9,Производство прочих тканей
13.30,Отделка тканей и текстильных изделий
13.30.0,Отделка тканей и текстильных изделий
13.91,Производство вязаного и трикотажного полотна
13.91.1,Производство и обработка вязаного и трикотажного полотна
13.91.2,Производство искусственного меха
13.92,"Производство готовых текстильных изделий, кроме одежды"
13.92.0,"Производство готовых текстильных изделий, кроме одежды"
13.93,Производство ковров и ковровых изделий
13.93.0,Производство ковров и ковровых изделий
13.94,"Производство веревок, канатов, бечевок, шпагата и сетей"
13.94.1,"Производство веревок, канатов, бечевок, шпагата"
13.94.2,Производство сетей и изделий из веревок
13.95,"Производство нетканых текстильных изделий, кроме одежды"
13.95.0,"Производство нетканых текстильных изделий, кроме одежды"
13.96,Производство прочих текстильных изделий технического и производственного назначения
13.96.0,Производство прочих текстильных изделий технического и производственного назначения
13.99,"Производство прочих текстильных изделий, не включенных в другие группировки"
13.99.1,Производство текстильной галантереи
13.99.2,Производство валяльно-войлочных изделий
13.99.9,"Производство других текстильных изделий, не включенных в другие группировки"
14,Производство одежды
14.1,"Производство одежды, кроме одежды из меха"
14.2,Производство меховых изделий
14.3,Производство вязаной и трикотажной одежды
14.11,Производство одежды из кожи
14.11.0,Производство одежды из кожи
14.12,Производство спецодежды
14.12.0,Производство спецодежды
14.13,Производство прочей верхней одежды
14.13.0,Производство прочей верхней одежды
14.14,Производство нижнего белья
14.14.0,Производство нижнего белья
14.19,Производство прочих видов одежды и аксессуаров
14.19.1,Производство головных уборов
14.19.9,"Производство прочих видов одежды и аксессуаров, не включенных в другие группировки"
14.20,Производство меховых изделий
14.20.0,Производство меховых изделий
14.31,Производство вязаных и трикотажных чулочно-носочных изделий
14.31.0,Производство вязаных и трикотажных чулочно-носочных изделий
14.39,Производство прочей вязаной и трикотажной одежды
14.39.0,Производство прочей вязаной и трикотажной одежды
